BUILDING_REFERENCE_NUMBER,OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,INSPECTION_DATE,TYPE_OF_ASSESSMENT,LODGEMENT_DATE,ENERGY_CONSUMPTION_CURRENT,TOTAL_FLOOR_AREA,3_YR_ENERGY_COST_CURRENT,3_YR_ENERGY_SAVINGS_POTENTIAL,CURRENT_ENERGY_EFFICIENCY,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_RATING,ENVIRONMENT_IMPACT_CURRENT,CURRENT_ENVIRONMENTAL_RATING,ENVIRONMENT_IMPACT_POTENTIAL,POTENTIAL_ENVIRONMENTAL_RATING,CO2_EMISS_CURR_PER_FLOOR_AREA,IMPROVEMENTS,WALL_DESCRIPTION,WALL_ENERGY_EFF,WALL_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,AIR_TIGHTNESS_DESCRIPTION,AIR_TIGHTNESS_ENERGY_EFF,AIR_TIGHTNESS_ENV_EFF,CO2_EMISSIONS_CURRENT,CO2_EMISSIONS_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,ALTERNATIVE_IMPROVEMENTS,LZC_ENERGY_SOURCES,SPACE_HEATING_DEMAND,WATER_HEATING_DEMAND,IMPACT_LOFT_INSULATION,IMPACT_CAVITY_WALL_INSULATION,IMPACT_SOLID_WALL_INSULATION,ADDENDUM_TEXT,CONSTRUCTION_AGE_BAND,FLOOR_HEIGHT,DATA_ZONE,ENERGY_CONSUMPTION_POTENTIAL,EXTENSION_COUNT,FIXED_LIGHTING_OUTLETS_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT,LOW_ENERGY_LIGHTING,FLOOR_LEVEL,FLAT_TOP_STOREY,GLAZED_AREA,NUMBER_HABITABLE_ROOMS,HEAT_LOSS_CORRIDOOR,NUMBER_HEATED_ROOMS,LOCAL_AUTHORITY_LABEL,MAINS_GAS_FLAG,MAIN_HEATING_CATEGORY,MAIN_FUEL,MAIN_HEATING_CONTROLS,MECHANICAL_VENTILATION,ENERGY_TARIFF,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,NUMBER_OPEN_FIREPLACES,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,TENURE,TRANSACTION_TYPE,UNHEATED_CORRIDOR_LENGTH,CONSTITUENCY,CONSTITUENCY_LABEL,WIND_TURBINE_COUNT,BUILT_FORM,PROPERTY_TYPE,DATA_ZONE_2011,"CREATED_AT "
1000001932,906367120,"PF1  ","18 MELVILLE TERRACE ","EDINBURGH ",EH9 1LY,2024-02-29,"RdSAP, existing dwelling",2024-03-27,242.00,65,3438.0000,1197.0000,70,C,79,C,68,D,81,B,43.00,"Description: Internal or external wall insulation; Indicative Cost: £4,000 - £14,000; Typical Saving: 258; Energy Rating after improvement: C 76; Environmental Rating after improvement: C 77; Green Deal Eligible: Y | Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 141; Energy Rating after improvement: C 79; Environmental Rating after improvement: B 81; Green Deal Eligible: Y | ","Sandstone or limestone, as built, no insulation (assumed) ","Poor ","Poor ","(another dwelling above) ","N/A ","N/A ","Suspended, no insulation (assumed) ","N/A ","N/A ","Description: Fully double glazed ","Average ","Average ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, room thermostat and TRVs ","Good ","Good ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,2.80,1.20,2739.0000,1542.0000,402.00,402.00,297.00,297.00,,,8993,1573,0,0,-3067,,before 1919,3,S01002034 (Marchmont East and Sciennes),144.00,0,10,10,100,ground floor,00,4,4,unheated corridor,4,Edinburgh City,,boiler with radiators or underfloor heating,mains gas (not community),2106,natural,Single,0,not defined,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,none of the above,14.8,00QPMQ,Southside/Newington,0,Mid-Terrace,Flat,S01008612 (Marchmont East and Sciennes - 02),2024-03-27 21:46:09.5686626
1000002855,320114097,"19 WALLS PLACE ",,"DUNFERMLINE ",KY11 4RE,2024-02-01,"RdSAP, existing dwelling",2024-02-04,193.00,90,3795.0000,576.0000,74,C,88,B,73,C,87,B,34.00,"Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 136; Energy Rating after improvement: C 77; Environmental Rating after improvement: C 76; Green Deal Eligible: Y | Description: Solar photovoltaic panels, 2.5 kWp; Indicative Cost: £3,500 - £5,500; Typical Saving: 518; Energy Rating after improvement: B 88; Environmental Rating after improvement: B 87; Green Deal Eligible: Y | Description: Solar water heating; Indicative Cost: £4,000 - £6,000; Typical Saving: 56; Energy Rating after improvement: C 78; Environmental Rating after improvement: C 78; Green Deal Eligible: Y | ","System built, with external insulation ","Good ","Good ","Pitched, 270 mm loft insulation ","Good ","Good ","Suspended, no insulation (assumed) ","N/A ","N/A ","Description: Fully double glazed ","Good ","Good ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, room thermostat and TRVs ","Good ","Good ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in 89% of fixed outlets ","Very Good ","Very Good ",,,,3.10,1.50,2934.0000,2526.0000,468.00,300.00,393.00,393.00,,,9718,1820,0,0,0,,1965-1975,2.4,S01002632 (Dunfermline Abbeyview South),101.00,0,9,8,89,,,1,5,,5,Fife,,boiler with radiators or underfloor heating,mains gas (not community),2106,natural,Single,100,double glazing installed during or after 2002,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,rented (social),none of the above,,00QRMD,Dunfermline South,0,End-Terrace,House,S01009343 (Pitcorthie North East),2024-02-04 13:00:23.5373472
1000002866,320114107,"39 WALLS PLACE ",,"DUNFERMLINE ",KY11 4RE,2024-03-20,"RdSAP, existing dwelling",2024-03-20,186.00,99,3990.0000,603.0000,75,C,88,B,73,C,86,B,33.00,"Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 145; Energy Rating after improvement: C 77; Environmental Rating after improvement: C 76; Green Deal Eligible: Y | Description: Solar water heating; Indicative Cost: £4,000 - £6,000; Typical Saving: 57; Energy Rating after improvement: C 78; Environmental Rating after improvement: C 78; Green Deal Eligible: Y | Description: Solar photovoltaic panels, 2.5 kWp; Indicative Cost: £3,500 - £5,500; Typical Saving: 518; Energy Rating after improvement: B 88; Environmental Rating after improvement: B 86; Green Deal Eligible: Y | ","System built, with external insulation ","Very Good ","Very Good ","Pitched, 300 mm loft insulation ","Very Good ","Very Good ","Suspended, no insulation (assumed) ","N/A ","N/A ","Description: Fully double glazed ","Good ","Good ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, TRVs and bypass ","Average ","Average ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,3.30,1.50,3066.0000,2631.0000,546.00,378.00,378.00,378.00,,,9520,2127,0,0,0,,1965-1975,2.37,S01002632 (Dunfermline Abbeyview South),101.00,0,14,14,100,,,1,4,,4,Fife,,boiler with radiators or underfloor heating,mains gas (not community),2107,natural,Single,100,double glazing installed during or after 2002,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,marketed sale,,00QRMD,Dunfermline South,0,Mid-Terrace,House,S01009343 (Pitcorthie North East),2024-03-20 14:13:31.6405222
1000002882,320114076,"69 WALLS PLACE ",,"DUNFERMLINE ",KY11 4RE,2024-02-01,"RdSAP, existing dwelling",2024-02-04,226.00,90,4353.0000,1212.0000,71,C,88,B,68,D,87,B,40.00,"Description: Solar water heating; Indicative Cost: £4,000 - £6,000; Typical Saving: 56; Energy Rating after improvement: C 75; Environmental Rating after improvement: C 74; Green Deal Eligible: Y | Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 136; Energy Rating after improvement: C 73; Environmental Rating after improvement: C 71; Green Deal Eligible: Y | Description: Upgrade heating controls; Indicative Cost: £350 - £450; Typical Saving: 60; Energy Rating after improvement: C 74; Environmental Rating after improvement: C 73; Green Deal Eligible: Y | Description: Solar photovoltaic panels, 2.5 kWp; Indicative Cost: £3,500 - £5,500; Typical Saving: 518; Energy Rating after improvement: B 88; Environmental Rating after improvement: B 87; Green Deal Eligible: Y | Description: Replace single glazed windows with low-E double glazed windows; Indicative Cost: £3,300 - £6,500; Typical Saving: 152; Energy Rating after improvement: C 78; Environmental Rating after improvement: C 78; Green Deal Eligible: Y | ","System built, with external insulation ","Good ","Good ","Pitched, 270 mm loft insulation ","Good ","Good ","Suspended, no insulation (assumed) ","N/A ","N/A ","Description: Some double glazing ","Very Poor ","Very Poor ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, TRVs and bypass ","Average ","Average ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,3.60,2.00,3534.0000,2487.0000,468.00,300.00,351.00,354.00,,,11290,1820,0,0,0,,1965-1975,2.4,S01002632 (Dunfermline Abbeyview South),98.00,0,10,10,100,,,1,5,,5,Fife,,boiler with radiators or underfloor heating,mains gas (not community),2107,natural,Single,10,double glazing installed during or after 2002,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,rented (social),none of the above,,00QRMD,Dunfermline South,0,End-Terrace,House,S01009343 (Pitcorthie North East),2024-02-04 12:59:24.6830166
1000001936,906367123,"2F  ","20 MELVILLE TERRACE ","EDINBURGH ",EH9 1LY,2024-02-19,"RdSAP, existing dwelling",2024-02-21,310.00,109,6873.0000,2511.0000,60,D,74,C,52,E,71,C,55.00,"Description: Replace single glazed windows with low-E double glazed windows; Indicative Cost: £3,300 - £6,500; Typical Saving: 137; Energy Rating after improvement: C 74; Environmental Rating after improvement: C 71; Green Deal Eligible: Y | Description: Internal or external wall insulation; Indicative Cost: £4,000 - £14,000; Typical Saving: 700; Energy Rating after improvement: C 72; Environmental Rating after improvement: D 68; Green Deal Eligible: Y | ","Sandstone or limestone, as built, no insulation (assumed) | Solid brick, as built, no insulation (assumed) ","Poor | Poor ","Poor | Poor ","(another dwelling above) ","N/A ","N/A ","(another dwelling below) ","N/A ","N/A ","Description: Some double glazing ","Poor ","Poor ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, TRVs and bypass ","Average ","Average ","Room heaters, mains gas ","N/A ","N/A ","From main system, no cylinder thermostat ","Average ","Average ","Low energy lighting in 83% of fixed outlets ","Very Good ","Very Good ",,,,5.90,2.30,4869.0000,2316.0000,1512.00,1545.00,492.00,501.00,,,12300,5296,0,0,-5984,,before 1919,3.24,S01002034 (Marchmont East and Sciennes),186.00,0,18,15,83,mid floor,02,1,5,unheated corridor,5,Edinburgh City,,boiler with radiators or underfloor heating,mains gas (not community),2107,natural,Single,30,"double glazing, unknown install date",3,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,marketed sale,11.49,00QPMQ,Southside/Newington,0,Semi-Detached,Flat,S01008612 (Marchmont East and Sciennes - 02),2024-02-21 09:01:45.0492608
1000002332,119044116,"KIRKBRAEFOOT COTTAGE ","MAIN STREET ","GREENOCK ",PA16 0AS,2024-01-13,"RdSAP, existing dwelling",2024-01-15,221.00,140,6342.0000,660.0000,71,C,81,B,66,D,76,C,39.00,"Description: Solar photovoltaic panels, 2.5 kWp; Indicative Cost: £3,500 - £5,500; Typical Saving: 515; Energy Rating after improvement: B 81; Environmental Rating after improvement: C 76; Green Deal Eligible: Y | Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 220; Energy Rating after improvement: C 74; Environmental Rating after improvement: C 70; Green Deal Eligible: Y | ","Cavity wall, with internal insulation | Granite or whinstone, with internal insulation | Solid brick, with internal insulation ","Good | Good | Good ","Good | Good | Good ","Pitched, 250 mm loft insulation | Roof room(s), insulated ","Good | Good ","Good | Good ","Solid, insulated | Suspended, no insulation (assumed) ","N/A | N/A ","N/A | N/A ","Description: Fully double glazed ","Good ","Good ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, room thermostat and TRVs ","Good ","Good ","Room heaters, mains gas ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,5.50,1.50,5325.0000,4665.0000,549.00,549.00,468.00,468.00,,,17094,2142,0,0,0,,before 1919,2.37,S01004022 (Inverkip and Wemyss Bay),160.00,2,18,18,100,,,1,6,,6,Inverclyde,,boiler with radiators or underfloor heating,mains gas (not community),2106,natural,Single,100,double glazing installed during or after 2002,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,none of the above,,00QUMF,Inverclyde South West,0,Detached,House,S01010829 (Inverkip and Wemyss Bay - 06),2024-01-15 16:52:31.4103339
1000001614,124009633,"10 KINCARRATHIE CRESCENT ",,"PERTH ",PH2 7HH,2024-03-08,"RdSAP, existing dwelling",2024-03-11,495.00,200,23766.0000,9723.0000,49,E,74,C,28,F,54,E,84.00,"Description: Internal or external wall insulation; Indicative Cost: £4,000 - £14,000; Typical Saving: 2509; Energy Rating after improvement: D 64; Environmental Rating after improvement: E 43; Green Deal Eligible: Y | Description: Solar water heating; Indicative Cost: £4,000 - £6,000; Typical Saving: 231; Energy Rating after improvement: C 69; Environmental Rating after improvement: E 50; Green Deal Eligible: Y | Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 502; Energy Rating after improvement: D 67; Environmental Rating after improvement: E 48; Green Deal Eligible: Y | Description: Solar photovoltaic panels, 2.5 kWp; Indicative Cost: £3,500 - £5,500; Typical Saving: 487; Energy Rating after improvement: C 74; Environmental Rating after improvement: E 54; Green Deal Eligible: Y | ","Sandstone or limestone, as built, no insulation (assumed) ","Poor ","Poor ","Pitched, 250 mm loft insulation ","Good ","Good ","(another dwelling below) | Suspended, no insulation (assumed) ","N/A | N/A ","N/A | N/A ","Description: Fully double glazed ","Good ","Good ","Electric storage heaters | Electric storage heaters ","Poor | Average ","Very Poor | Poor ","Automatic charge control | Controls for high heat retention storage heaters ","Average | Good ","Average | Good ","Room heaters, electric ","N/A ","N/A ","Electric immersion, off-peak ","Average ","Poor ","Low energy lighting in 71% of fixed outlets ","Very Good ","Very Good ",,,,17.00,8.00,21321.0000,12378.0000,1707.00,927.00,738.00,738.00,,,29110,2342,0,0,-10318,,before 1919,2.75,S01005061 (Gannochy and Walnut Grove),266.00,1,17,12,71,,,1,8,,8,Perth and Kinross,,electric storage heaters,electricity (not community),2404,natural,dual (24 hour),100,double glazing installed during or after 2002,3,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,marketed sale,,00RBMM,Perth City Centre,0,Semi-Detached,House,S01011948 (Gannochy and Walnut Grove - 05),2024-03-11 15:22:06.2766487
1000002070,136024373,"7 CHAPEL CRESCENT ","CARRONSHORE ","FALKIRK ",FK2 8DD,2024-01-24,"RdSAP, existing dwelling",2024-01-24,206.00,85,3987.0000,486.0000,72,C,85,B,73,C,87,B,33.00,"Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 107; Energy Rating after improvement: C 74; Environmental Rating after improvement: C 75; Green Deal Eligible: Y | Description: Solar water heating; Indicative Cost: £4,000 - £6,000; Typical Saving: 55; Energy Rating after improvement: C 75; Environmental Rating after improvement: C 77; Green Deal Eligible: Y | Description: Solar photovoltaic panels, 2.5 kWp; Indicative Cost: £3,500 - £5,500; Typical Saving: 504; Energy Rating after improvement: B 85; Environmental Rating after improvement: B 87; Green Deal Eligible: Y | ","Cavity wall, filled cavity ","Average ","Average ","Pitched, 300 mm loft insulation ","Very Good ","Very Good ","Suspended, no insulation (assumed) ","N/A ","N/A ","Description: Fully double glazed ","Average ","Average ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, room thermostat and TRVs ","Good ","Good ","Room heaters, wood logs ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,2.80,1.20,3117.0000,2796.0000,501.00,336.00,369.00,369.00,,"Description: Biomass secondary heating | ",9346,1940,0,0,0,,1950-1964,2.4,S01002547 (Carron),117.00,0,9,9,100,,,4,5,,4,Falkirk,,boiler with radiators or underfloor heating,mains gas (not community),2106,natural,Single,0,not defined,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,none of the above,,00QQMD,"Carse, Kinnaird and Tryst",0,Mid-Terrace,House,S01009114 (Carron - 02),2024-01-24 10:21:10.6083380
1000002315,119051624,"FLAT 1-1  ","43 MAIN STREET ","GREENOCK ",PA16 0AS,2024-03-28,"RdSAP, existing dwelling",2024-03-28,201.00,47,2211.0000,0.0000,75,C,75,C,78,C,78,C,35.00,,"Cavity wall, as built, partial insulation (assumed) | Cavity wall, filled cavity ","Average | Average ","Average | Average ","Pitched, 150 mm loft insulation ","Good ","Good ","(another dwelling below) ","N/A ","N/A ","Description: Fully double glazed ","Average ","Average ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, room thermostat and TRVs ","Good ","Good ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,1.70,0.00,1590.0000,1590.0000,417.00,417.00,204.00,204.00,,,4445,1622,-363,-309,0,,1965-1975,2.33,S01004022 (Inverkip and Wemyss Bay),201.00,0,6,6,100,top floor,01,1,2,unheated corridor,2,Inverclyde,,boiler with radiators or underfloor heating,mains gas (not community),2106,natural,Single,100,"double glazing, unknown install date",0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,none of the above,6.84,00QUMF,Inverclyde South West,0,Semi-Detached,Flat,S01010829 (Inverkip and Wemyss Bay - 06),2024-03-28 19:50:40.4579336
1000003677,906700250922,"FLAT 3/2  ","13 CARFIN STREET ","GLASGOW ",G42 7QA,2024-01-04,"RdSAP, existing dwelling",2024-01-04,179.00,43,2367.0000,459.0000,76,C,80,C,80,C,84,B,32.00,"Description: Internal or external wall insulation; Indicative Cost: £4,000 - £14,000; Typical Saving: 152; Energy Rating after improvement: C 80; Environmental Rating after improvement: B 84; Green Deal Eligible: Y | ","Sandstone or limestone, as built, no insulation (assumed) | Solid brick, as built, partial insulation (assumed) ","Poor | Average ","Poor | Average ","Pitched, 300 mm loft insulation ","Very Good ","Very Good ","(another dwelling below) ","N/A ","N/A ","Description: Fully double glazed ","Good ","Good ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, room thermostat and TRVs ","Good ","Good ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,1.40,0.40,1620.0000,1161.0000,522.00,522.00,225.00,225.00,,,3316,1514,0,0,-1345,,before 1919,2.6,S01003191 (Govanhill West),137.00,0,6,6,100,top floor,03,1,2,unheated corridor,2,Glasgow City,,boiler with radiators or underfloor heating,mains gas (not community),2106,natural,Single,100,double glazing installed during or after 2002,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,rented (social),rental,5.25,00QSMH,Southside Central,0,Mid-Terrace,Flat,S01009890 (Govanhill West - 04),2024-01-04 13:23:36.6197839
